Artifact Kind,Schema Name,Schema Path,JSON Schema,Fused,Fused ClassNames,Fused ClassName CSS Tokens
type,AboutPage,packages/contracts/lander-content-contract/schemas/structured-data/about-page.schema.json,✅,✅,✅,✅
type,Action,packages/contracts/lander-content-contract/schemas/structured-data/action.schema.json,✅,✅,✅,✅
type,AdministrativeArea,packages/contracts/lander-content-contract/schemas/structured-data/administrative-area.schema.json,✅,✅,✅,✅
type,AggregateOffer,packages/contracts/lander-content-contract/schemas/structured-data/aggregate-offer.schema.json,✅,✅,✅,✅
type,AggregateRating,packages/contracts/lander-content-contract/schemas/structured-data/aggregate-rating.schema.json,✅,✅,✅,✅
type,AlignmentObject,packages/contracts/lander-content-contract/schemas/structured-data/alignment-object.schema.json,✅,✅,✅,✅
type,AnatomicalStructure,packages/contracts/lander-content-contract/schemas/structured-data/anatomical-structure.schema.json,✅,✅,✅,✅
type,AnatomicalSystem,packages/contracts/lander-content-contract/schemas/structured-data/anatomical-system.schema.json,✅,✅,✅,✅
type,Answer,packages/contracts/lander-content-contract/schemas/structured-data/answer.schema.json,✅,✅,✅,✅
type,Article,packages/contracts/lander-content-contract/schemas/structured-data/article.schema.json,✅,✅,✅,✅
type,Audience,packages/contracts/lander-content-contract/schemas/structured-data/audience.schema.json,✅,✅,✅,✅
type,AudioObject,packages/contracts/lander-content-contract/schemas/structured-data/audio-object.schema.json,✅,✅,✅,✅
type,BioChemEntity,packages/contracts/lander-content-contract/schemas/structured-data/bio-chem-entity.schema.json,✅,✅,✅,✅
type,BlogPosting,packages/contracts/lander-content-contract/schemas/structured-data/blog-posting.schema.json,✅,✅,✅,✅
type,Book,packages/contracts/lander-content-contract/schemas/structured-data/book.schema.json,✅,✅,✅,✅
type,Brand,packages/contracts/lander-content-contract/schemas/structured-data/brand.schema.json,✅,✅,✅,✅
type,BreadcrumbList,packages/contracts/lander-content-contract/schemas/structured-data/breadcrumb-list.schema.json,✅,✅,✅,✅
type,BroadcastChannel,packages/contracts/lander-content-contract/schemas/structured-data/broadcast-channel.schema.json,✅,✅,✅,✅
type,BroadcastEvent,packages/contracts/lander-content-contract/schemas/structured-data/broadcast-event.schema.json,✅,✅,✅,✅
type,BroadcastFrequencySpecification,packages/contracts/lander-content-contract/schemas/structured-data/broadcast-frequency-specification.schema.json,✅,✅,✅,✅
type,BroadcastService,packages/contracts/lander-content-contract/schemas/structured-data/broadcast-service.schema.json,✅,✅,✅,✅
type,CableOrSatelliteService,packages/contracts/lander-content-contract/schemas/structured-data/cable-or-satellite-service.schema.json,✅,✅,✅,✅
type,CategoryCode,packages/contracts/lander-content-contract/schemas/structured-data/category-code.schema.json,✅,✅,✅,✅
type,CategoryCodeSet,packages/contracts/lander-content-contract/schemas/structured-data/category-code-set.schema.json,✅,✅,✅,✅
type,Certification,packages/contracts/lander-content-contract/schemas/structured-data/certification.schema.json,✅,✅,✅,✅
type,CheckoutPage,packages/contracts/lander-content-contract/schemas/structured-data/checkout-page.schema.json,✅,✅,✅,✅
type,CivicStructure,packages/contracts/lander-content-contract/schemas/structured-data/civic-structure.schema.json,✅,✅,✅,✅
type,Claim,packages/contracts/lander-content-contract/schemas/structured-data/claim.schema.json,✅,✅,✅,✅
type,ClaimReview,packages/contracts/lander-content-contract/schemas/structured-data/claim-review.schema.json,✅,✅,✅,✅
type,Class,packages/contracts/lander-content-contract/schemas/structured-data/class.schema.json,✅,✅,✅,✅
type,Clip,packages/contracts/lander-content-contract/schemas/structured-data/clip.schema.json,✅,✅,✅,✅
type,cmns-cls_Classifier,packages/contracts/lander-content-contract/schemas/structured-data/cmns-cls-classifier.schema.json,✅,✅,✅,✅
type,cmns-col_Collection,packages/contracts/lander-content-contract/schemas/structured-data/cmns-col-collection.schema.json,✅,✅,✅,✅
type,cmns-ge_GeopoliticalEntity,packages/contracts/lander-content-contract/schemas/structured-data/cmns-ge-geopolitical-entity.schema.json,✅,✅,✅,✅
type,CollectionPage,packages/contracts/lander-content-contract/schemas/structured-data/collection-page.schema.json,✅,✅,✅,✅
type,Comment,packages/contracts/lander-content-contract/schemas/structured-data/comment.schema.json,✅,✅,✅,✅
type,ConstraintNode,packages/contracts/lander-content-contract/schemas/structured-data/constraint-node.schema.json,✅,✅,✅,✅
type,ContactPage,packages/contracts/lander-content-contract/schemas/structured-data/contact-page.schema.json,✅,✅,✅,✅
type,ContactPoint,packages/contracts/lander-content-contract/schemas/structured-data/contact-point.schema.json,✅,✅,✅,✅
type,CorrectionComment,packages/contracts/lander-content-contract/schemas/structured-data/correction-comment.schema.json,✅,✅,✅,✅
type,Country,packages/contracts/lander-content-contract/schemas/structured-data/country.schema.json,✅,✅,✅,✅
type,Course,packages/contracts/lander-content-contract/schemas/structured-data/course.schema.json,✅,✅,✅,✅
type,CourseInstance,packages/contracts/lander-content-contract/schemas/structured-data/course-instance.schema.json,✅,✅,✅,✅
type,CreativeWork,packages/contracts/lander-content-contract/schemas/structured-data/creative-work.schema.json,✅,✅,✅,✅
type,CreativeWorkSeason,packages/contracts/lander-content-contract/schemas/structured-data/creative-work-season.schema.json,✅,✅,✅,✅
type,CreativeWorkSeries,packages/contracts/lander-content-contract/schemas/structured-data/creative-work-series.schema.json,✅,✅,✅,✅
type,Credential,packages/contracts/lander-content-contract/schemas/structured-data/credential.schema.json,✅,✅,✅,✅
type,CreditCard,packages/contracts/lander-content-contract/schemas/structured-data/credit-card.schema.json,✅,✅,✅,✅
type,CssSelectorType,packages/contracts/lander-content-contract/schemas/structured-data/css-selector-type.schema.json,✅,✅,✅,✅
type,DataCatalog,packages/contracts/lander-content-contract/schemas/structured-data/data-catalog.schema.json,✅,✅,✅,✅
type,DataDownload,packages/contracts/lander-content-contract/schemas/structured-data/data-download.schema.json,✅,✅,✅,✅
type,DataFeed,packages/contracts/lander-content-contract/schemas/structured-data/data-feed.schema.json,✅,✅,✅,✅
type,DataFeedItem,packages/contracts/lander-content-contract/schemas/structured-data/data-feed-item.schema.json,✅,✅,✅,✅
type,Dataset,packages/contracts/lander-content-contract/schemas/structured-data/dataset.schema.json,✅,✅,✅,✅
type,DDxElement,packages/contracts/lander-content-contract/schemas/structured-data/d-dx-element.schema.json,✅,✅,✅,✅
type,DefinedRegion,packages/contracts/lander-content-contract/schemas/structured-data/defined-region.schema.json,✅,✅,✅,✅
type,DefinedTerm,packages/contracts/lander-content-contract/schemas/structured-data/defined-term.schema.json,✅,✅,✅,✅
type,DefinedTermSet,packages/contracts/lander-content-contract/schemas/structured-data/defined-term-set.schema.json,✅,✅,✅,✅
type,DeliveryChargeSpecification,packages/contracts/lander-content-contract/schemas/structured-data/delivery-charge-specification.schema.json,✅,✅,✅,✅
type,Demand,packages/contracts/lander-content-contract/schemas/structured-data/demand.schema.json,✅,✅,✅,✅
type,Diet,packages/contracts/lander-content-contract/schemas/structured-data/diet.schema.json,✅,✅,✅,✅
type,DiscussionForumPosting,packages/contracts/lander-content-contract/schemas/structured-data/discussion-forum-posting.schema.json,✅,✅,✅,✅
type,Distance,packages/contracts/lander-content-contract/schemas/structured-data/distance.schema.json,✅,✅,✅,✅
type,DoseSchedule,packages/contracts/lander-content-contract/schemas/structured-data/dose-schedule.schema.json,✅,✅,✅,✅
type,Drug,packages/contracts/lander-content-contract/schemas/structured-data/drug.schema.json,✅,✅,✅,✅
type,DrugClass,packages/contracts/lander-content-contract/schemas/structured-data/drug-class.schema.json,✅,✅,✅,✅
type,DrugLegalStatus,packages/contracts/lander-content-contract/schemas/structured-data/drug-legal-status.schema.json,✅,✅,✅,✅
type,DrugStrength,packages/contracts/lander-content-contract/schemas/structured-data/drug-strength.schema.json,✅,✅,✅,✅
type,Duration,packages/contracts/lander-content-contract/schemas/structured-data/duration.schema.json,✅,✅,✅,✅
type,EducationalOccupationalCredential,packages/contracts/lander-content-contract/schemas/structured-data/educational-occupational-credential.schema.json,✅,✅,✅,✅
type,EducationalOrganization,packages/contracts/lander-content-contract/schemas/structured-data/educational-organization.schema.json,✅,✅,✅,✅
type,EmployerAggregateRating,packages/contracts/lander-content-contract/schemas/structured-data/employer-aggregate-rating.schema.json,✅,✅,✅,✅
type,Energy,packages/contracts/lander-content-contract/schemas/structured-data/energy.schema.json,✅,✅,✅,✅
type,EnergyConsumptionDetails,packages/contracts/lander-content-contract/schemas/structured-data/energy-consumption-details.schema.json,✅,✅,✅,✅
type,EntryPoint,packages/contracts/lander-content-contract/schemas/structured-data/entry-point.schema.json,✅,✅,✅,✅
type,Enumeration,packages/contracts/lander-content-contract/schemas/structured-data/enumeration.schema.json,✅,✅,✅,✅
type,Episode,packages/contracts/lander-content-contract/schemas/structured-data/episode.schema.json,✅,✅,✅,✅
type,Event,packages/contracts/lander-content-contract/schemas/structured-data/event.schema.json,✅,✅,✅,✅
type,FAQPage,packages/contracts/lander-content-contract/schemas/structured-data/faq-page.schema.json,✅,✅,✅,✅
type,fibo-fnd-agr-ctr_MutualContractualAgreement,packages/contracts/lander-content-contract/schemas/structured-data/fibo-fnd-agr-ctr-mutual-contractual-agreement.schema.json,✅,✅,✅,✅
type,fibo-fnd-arr-doc_Certificate,packages/contracts/lander-content-contract/schemas/structured-data/fibo-fnd-arr-doc-certificate.schema.json,✅,✅,✅,✅
type,FinancialProduct,packages/contracts/lander-content-contract/schemas/structured-data/financial-product.schema.json,✅,✅,✅,✅
type,Gene,packages/contracts/lander-content-contract/schemas/structured-data/gene.schema.json,✅,✅,✅,✅
type,GeoCoordinates,packages/contracts/lander-content-contract/schemas/structured-data/geo-coordinates.schema.json,✅,✅,✅,✅
type,GeoShape,packages/contracts/lander-content-contract/schemas/structured-data/geo-shape.schema.json,✅,✅,✅,✅
type,GeospatialGeometry,packages/contracts/lander-content-contract/schemas/structured-data/geospatial-geometry.schema.json,✅,✅,✅,✅
type,Grant,packages/contracts/lander-content-contract/schemas/structured-data/grant.schema.json,✅,✅,✅,✅
type,HealthInsurancePlan,packages/contracts/lander-content-contract/schemas/structured-data/health-insurance-plan.schema.json,✅,✅,✅,✅
type,HealthPlanCostSharingSpecification,packages/contracts/lander-content-contract/schemas/structured-data/health-plan-cost-sharing-specification.schema.json,✅,✅,✅,✅
type,HealthPlanFormulary,packages/contracts/lander-content-contract/schemas/structured-data/health-plan-formulary.schema.json,✅,✅,✅,✅
type,HealthPlanNetwork,packages/contracts/lander-content-contract/schemas/structured-data/health-plan-network.schema.json,✅,✅,✅,✅
type,HowTo,packages/contracts/lander-content-contract/schemas/structured-data/how-to.schema.json,✅,✅,✅,✅
type,HowToItem,packages/contracts/lander-content-contract/schemas/structured-data/how-to-item.schema.json,✅,✅,✅,✅
type,HowToSection,packages/contracts/lander-content-contract/schemas/structured-data/how-to-section.schema.json,✅,✅,✅,✅
type,HowToStep,packages/contracts/lander-content-contract/schemas/structured-data/how-to-step.schema.json,✅,✅,✅,✅
type,HowToSupply,packages/contracts/lander-content-contract/schemas/structured-data/how-to-supply.schema.json,✅,✅,✅,✅
type,HowToTool,packages/contracts/lander-content-contract/schemas/structured-data/how-to-tool.schema.json,✅,✅,✅,✅
type,HyperTocEntry,packages/contracts/lander-content-contract/schemas/structured-data/hyper-toc-entry.schema.json,✅,✅,✅,✅
type,ImageGallery,packages/contracts/lander-content-contract/schemas/structured-data/image-gallery.schema.json,✅,✅,✅,✅
type,ImageObject,packages/contracts/lander-content-contract/schemas/structured-data/image-object.schema.json,✅,✅,✅,✅
type,Intangible,packages/contracts/lander-content-contract/schemas/structured-data/intangible.schema.json,✅,✅,✅,✅
