id,label,subTypeOf,equivalentClass,subTypes,supersedes,supersededBy,isPartOf
https://schema.org/3DModel,3DModel,https://schema.org/MediaObject,,,,,https://pending.schema.org
https://schema.org/AMRadioChannel,AMRadioChannel,https://schema.org/RadioChannel,,,,,
https://schema.org/APIReference,APIReference,https://schema.org/TechArticle,,,,,
https://schema.org/Abdomen,Abdomen,,,,,,
https://schema.org/AboutPage,AboutPage,https://schema.org/WebPage,,,,,
https://schema.org/AcceptAction,AcceptAction,https://schema.org/AllocateAction,,,,,
https://schema.org/Accommodation,Accommodation,https://schema.org/Place,,"https://schema.org/Apartment, https://schema.org/CampingPitch, https://schema.org/House, https://schema.org/Room, https://schema.org/Suite",,,
https://schema.org/AccountingService,AccountingService,https://schema.org/FinancialService,,,,,
https://schema.org/AchieveAction,AchieveAction,https://schema.org/Action,,"https://schema.org/LoseAction, https://schema.org/TieAction, https://schema.org/WinAction",,,
https://schema.org/Action,Action,https://schema.org/Thing,,"https://schema.org/AchieveAction, https://schema.org/AssessAction, https://schema.org/ConsumeAction, https://schema.org/ControlAction, https://schema.org/CreateAction, https://schema.org/FindAction, https://schema.org/InteractAction, https://schema.org/MoveAction, https://schema.org/OrganizeAction, https://schema.org/PlayAction, https://schema.org/SearchAction, https://schema.org/SeekToAction, https://schema.org/SolveMathAction, https://schema.org/TradeAction, https://schema.org/TransferAction, https://schema.org/UpdateAction",,,
https://schema.org/ActionAccessSpecification,ActionAccessSpecification,https://schema.org/Intangible,,,,,
https://schema.org/ActionStatusType,ActionStatusType,https://schema.org/StatusEnumeration,,,,,
https://schema.org/ActivateAction,ActivateAction,https://schema.org/ControlAction,,,,,
https://schema.org/ActivationFee,ActivationFee,,,,,,https://pending.schema.org
https://schema.org/ActiveActionStatus,ActiveActionStatus,,,,,,
https://schema.org/ActiveNotRecruiting,ActiveNotRecruiting,,,,,,
https://schema.org/AddAction,AddAction,https://schema.org/UpdateAction,,https://schema.org/InsertAction,,,
https://schema.org/AdministrativeArea,AdministrativeArea,https://schema.org/Place,https://www.omg.org/spec/Commons/GeopoliticalEntities/Subdivision,"https://schema.org/City, https://schema.org/Country, https://schema.org/SchoolDistrict, https://schema.org/State",,,
https://schema.org/AdultEntertainment,AdultEntertainment,https://schema.org/EntertainmentBusiness,,,,,
https://schema.org/AdultOrientedEnumeration,AdultOrientedEnumeration,https://schema.org/Enumeration,,,,,https://pending.schema.org
https://schema.org/AdvertiserContentArticle,AdvertiserContentArticle,https://schema.org/Article,,,,,https://pending.schema.org
https://schema.org/AerobicActivity,AerobicActivity,,,,,,
https://schema.org/AggregateOffer,AggregateOffer,https://schema.org/Offer,,,,,
https://schema.org/AggregateRating,AggregateRating,https://schema.org/Rating,,https://schema.org/EmployerAggregateRating,,,
https://schema.org/AgreeAction,AgreeAction,https://schema.org/ReactAction,,,,,
https://schema.org/Airline,Airline,https://schema.org/Organization,,,,,
https://schema.org/Airport,Airport,https://schema.org/CivicStructure,,,,,
https://schema.org/AlbumRelease,AlbumRelease,,,,,,
https://schema.org/AlcoholConsideration,AlcoholConsideration,,,,,,https://pending.schema.org
https://schema.org/AlgorithmicMediaDigitalSource,AlgorithmicMediaDigitalSource,,,,,,https://pending.schema.org
https://schema.org/AlgorithmicallyEnhancedDigitalSource,AlgorithmicallyEnhancedDigitalSource,,,,,,https://pending.schema.org
https://schema.org/AlignmentObject,AlignmentObject,https://schema.org/Intangible,,,,,
https://schema.org/AllWheelDriveConfiguration,AllWheelDriveConfiguration,,,,,,
https://schema.org/AllergiesHealthAspect,AllergiesHealthAspect,,,,,,https://pending.schema.org
https://schema.org/AllocateAction,AllocateAction,https://schema.org/OrganizeAction,,"https://schema.org/AcceptAction, https://schema.org/AssignAction, https://schema.org/AuthorizeAction, https://schema.org/RejectAction",,,
https://schema.org/AmpStory,AmpStory,"https://schema.org/CreativeWork, https://schema.org/MediaObject",,,,,https://pending.schema.org
https://schema.org/AmusementPark,AmusementPark,https://schema.org/EntertainmentBusiness,,,,,
https://schema.org/AnaerobicActivity,AnaerobicActivity,,,,,,
https://schema.org/AnalysisNewsArticle,AnalysisNewsArticle,https://schema.org/NewsArticle,,,,,https://pending.schema.org
https://schema.org/AnatomicalStructure,AnatomicalStructure,https://schema.org/MedicalEntity,,"https://schema.org/Bone, https://schema.org/BrainStructure, https://schema.org/Joint, https://schema.org/Ligament, https://schema.org/Muscle, https://schema.org/Nerve, https://schema.org/Vessel",,,
https://schema.org/AnatomicalSystem,AnatomicalSystem,https://schema.org/MedicalEntity,,,,,
https://schema.org/AndroidPlatform,AndroidPlatform,,,,,,https://pending.schema.org
https://schema.org/Anesthesia,Anesthesia,,,,,,
https://schema.org/AnimalShelter,AnimalShelter,https://schema.org/LocalBusiness,,,,,
https://schema.org/Answer,Answer,https://schema.org/Comment,,,,,
https://schema.org/Apartment,Apartment,https://schema.org/Accommodation,,,,,
https://schema.org/ApartmentComplex,ApartmentComplex,https://schema.org/Residence,,,,,
https://schema.org/Appearance,Appearance,,,,,,
https://schema.org/AppendAction,AppendAction,https://schema.org/InsertAction,,,,,
https://schema.org/ApplyAction,ApplyAction,https://schema.org/OrganizeAction,,,,,
https://schema.org/ApprovedIndication,ApprovedIndication,https://schema.org/MedicalIndication,,,,,
https://schema.org/Aquarium,Aquarium,https://schema.org/CivicStructure,,,,,
https://schema.org/ArchiveComponent,ArchiveComponent,https://schema.org/CreativeWork,,,,,https://pending.schema.org
https://schema.org/ArchiveOrganization,ArchiveOrganization,https://schema.org/LocalBusiness,,,,,https://pending.schema.org
https://schema.org/ArriveAction,ArriveAction,https://schema.org/MoveAction,,,,,
https://schema.org/ArtGallery,ArtGallery,https://schema.org/EntertainmentBusiness,,,,,
https://schema.org/Artery,Artery,https://schema.org/Vessel,http://purl.bioontology.org/ontology/SNOMEDCT/51114001,,,,
https://schema.org/Article,Article,https://schema.org/CreativeWork,,"https://schema.org/AdvertiserContentArticle, https://schema.org/NewsArticle, https://schema.org/Report, https://schema.org/SatiricalArticle, https://schema.org/ScholarlyArticle, https://schema.org/SocialMediaPosting, https://schema.org/TechArticle",,,
https://schema.org/AskAction,AskAction,https://schema.org/CommunicateAction,,,,,
https://schema.org/AskPublicNewsArticle,AskPublicNewsArticle,https://schema.org/NewsArticle,,,,,https://pending.schema.org
https://schema.org/AssessAction,AssessAction,https://schema.org/Action,,"https://schema.org/ChooseAction, https://schema.org/IgnoreAction, https://schema.org/ReactAction, https://schema.org/ReviewAction",,,
https://schema.org/AssignAction,AssignAction,https://schema.org/AllocateAction,,,,,
https://schema.org/Atlas,Atlas,https://schema.org/CreativeWork,,,,,https://bib.schema.org
https://schema.org/Attorney,Attorney,https://schema.org/LegalService,,,,,
https://schema.org/Audience,Audience,https://schema.org/Intangible,,"https://schema.org/BusinessAudience, https://schema.org/EducationalAudience, https://schema.org/MedicalAudience, https://schema.org/PeopleAudience, https://schema.org/Researcher",,,
https://schema.org/AudioObject,AudioObject,https://schema.org/MediaObject,,"https://schema.org/AudioObjectSnapshot, https://schema.org/Audiobook",,,
https://schema.org/AudioObjectSnapshot,AudioObjectSnapshot,https://schema.org/AudioObject,,,,,https://pending.schema.org
https://schema.org/Audiobook,Audiobook,"https://schema.org/AudioObject, https://schema.org/Book",,,,,https://bib.schema.org
https://schema.org/AudiobookFormat,AudiobookFormat,,,,,,
https://schema.org/AuthenticateAction,AuthenticateAction,https://schema.org/ControlAction,,,,,https://pending.schema.org
https://schema.org/AuthoritativeLegalValue,AuthoritativeLegalValue,,,,,,https://pending.schema.org
https://schema.org/AuthorizeAction,AuthorizeAction,https://schema.org/AllocateAction,,,,,
https://schema.org/AutoBodyShop,AutoBodyShop,https://schema.org/AutomotiveBusiness,,,,,
https://schema.org/AutoDealer,AutoDealer,https://schema.org/AutomotiveBusiness,,,,,
https://schema.org/AutoPartsStore,AutoPartsStore,"https://schema.org/AutomotiveBusiness, https://schema.org/Store",,,,,
https://schema.org/AutoRental,AutoRental,https://schema.org/AutomotiveBusiness,,,,,
https://schema.org/AutoRepair,AutoRepair,https://schema.org/AutomotiveBusiness,,,,,
https://schema.org/AutoWash,AutoWash,https://schema.org/AutomotiveBusiness,,,,,
https://schema.org/AutomatedTeller,AutomatedTeller,https://schema.org/FinancialService,,,,,
https://schema.org/AutomotiveBusiness,AutomotiveBusiness,https://schema.org/LocalBusiness,,"https://schema.org/AutoBodyShop, https://schema.org/AutoDealer, https://schema.org/AutoPartsStore, https://schema.org/AutoRental, https://schema.org/AutoRepair, https://schema.org/AutoWash, https://schema.org/GasStation, https://schema.org/MotorcycleDealer, https://schema.org/MotorcycleRepair",,,
https://schema.org/Ayurvedic,Ayurvedic,,,,,,
https://schema.org/BackOrder,BackOrder,,,,,,
https://schema.org/BackgroundNewsArticle,BackgroundNewsArticle,https://schema.org/NewsArticle,,,,,https://pending.schema.org
https://schema.org/Bacteria,Bacteria,,,,,,
https://schema.org/Bakery,Bakery,https://schema.org/FoodEstablishment,,,,,
https://schema.org/Balance,Balance,,,,,,
https://schema.org/BankAccount,BankAccount,https://schema.org/FinancialProduct,https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/FinancialProductsAndServices/BankAccount,https://schema.org/DepositAccount,,,
https://schema.org/BankOrCreditUnion,BankOrCreditUnion,https://schema.org/FinancialService,,,,,
https://schema.org/BarOrPub,BarOrPub,https://schema.org/FoodEstablishment,,,,,
https://schema.org/Barcode,Barcode,https://schema.org/ImageObject,,,,,
https://schema.org/BasicIncome,BasicIncome,,,,,,https://pending.schema.org
https://schema.org/Beach,Beach,https://schema.org/CivicStructure,,,,,
https://schema.org/BeautySalon,BeautySalon,https://schema.org/HealthAndBeautyBusiness,,,,,
https://schema.org/BedAndBreakfast,BedAndBreakfast,https://schema.org/LodgingBusiness,,,,,
https://schema.org/BedDetails,BedDetails,https://schema.org/Intangible,,,,,
https://schema.org/BedType,BedType,https://schema.org/QualitativeValue,,,,,
https://schema.org/BefriendAction,BefriendAction,https://schema.org/InteractAction,,,,,
https://schema.org/BenefitsHealthAspect,BenefitsHealthAspect,,,,,,https://pending.schema.org
